"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.06.2023","3,79","4,00","4,02","3,79","90,39M","-4,29%"
"12.06.2023","3,96","4,01","4,07","3,90","117,75M","-0,25%"
"09.06.2023","3,97","3,96","4,07","3,93","119,09M","2,32%"
"07.06.2023","3,88","4,05","4,18","3,86","122,41M","-2,76%"
"06.06.2023","3,99","3,93","4,04","3,87","99,07M","2,57%"
"05.06.2023","3,89","3,90","3,97","3,84","59,73M","0,52%"
"02.06.2023","3,87","4,12","4,17","3,79","132,36M","-4,68%"
"01.06.2023","4,06","3,84","4,06","3,79","105,77M","6,84%"
"31.05.2023","3,80","3,71","3,81","3,66","75,93M","1,88%"
"30.05.2023","3,73","3,84","3,90","3,70","76,49M","-1,58%"
"29.05.2023","3,79","3,84","3,86","3,74","44,60M","-0,79%"
"26.05.2023","3,82","3,84","3,87","3,76","75,94M","1,60%"
"25.05.2023","3,76","3,74","3,82","3,72","119,02M","3,58%"
"24.05.2023","3,63","3,51","3,72","3,48","104,07M","-0,82%"
"23.05.2023","3,66","3,83","3,84","3,64","113,61M","-3,68%"
"22.05.2023","3,80","3,67","3,87","3,66","126,07M","4,40%"
"19.05.2023","3,64","3,58","3,73","3,53","145,40M","2,82%"
"18.05.2023","3,54","3,37","3,59","3,33","177,60M","5,36%"
"17.05.2023","3,36","3,50","3,53","3,27","182,95M","-0,59%"
"16.05.2023","3,38","4,01","4,09","3,36","344,69M","-22,83%"
"15.05.2023","4,38","4,35","4,46","4,27","88,56M","1,62%"
"12.05.2023","4,31","4,30","4,36","4,21","69,56M","-0,92%"
"11.05.2023","4,35","4,34","4,43","4,20","102,50M","1,40%"
"10.05.2023","4,29","4,17","4,36","4,16","111,86M","3,62%"
"09.05.2023","4,14","3,84","4,27","3,82","160,29M","6,98%"
"08.05.2023","3,87","3,82","4,00","3,82","108,33M","1,84%"
"06.05.2023","3,80","3,80","3,80","3,80","","-0,26%"
"05.05.2023","3,81","3,57","3,84","3,54","145,92M","6,72%"
"04.05.2023","3,57","3,36","3,64","3,36","150,43M","6,89%"
"03.05.2023","3,34","3,25","3,37","3,23","88,17M","3,09%"
"02.05.2023","3,24","3,35","3,35","3,23","63,33M","-2,99%"
"28.04.2023","3,34","3,22","3,34","3,14","81,01M","4,37%"
"27.04.2023","3,20","3,13","3,20","3,04","93,67M","2,89%"
"26.04.2023","3,11","3,31","3,32","3,09","116,54M","-5,18%"
"25.04.2023","3,28","3,37","3,39","3,23","82,01M","-3,24%"
"24.04.2023","3,39","3,30","3,43","3,29","90,95M","2,73%"
"20.04.2023","3,30","3,30","3,35","3,23","110,82M","1,54%"
"19.04.2023","3,25","3,50","3,51","3,23","151,17M","-8,19%"
"18.04.2023","3,54","3,70","3,73","3,53","107,84M","-3,28%"
"17.04.2023","3,66","3,77","3,77","3,64","89,08M","-2,14%"
"14.04.2023","3,74","3,81","3,85","3,72","88,85M","-3,11%"
"13.04.2023","3,86","3,89","3,97","3,78","97,07M","-0,52%"
"12.04.2023","3,88","3,88","3,93","3,77","152,12M","2,65%"
"11.04.2023","3,78","3,47","3,87","3,45","242,77M","12,84%"
"10.04.2023","3,35","3,39","3,45","3,35","55,60M","-0,59%"
"06.04.2023","3,37","3,26","3,41","3,25","70,96M","2,74%"
"05.04.2023","3,28","3,24","3,32","3,14","110,60M","1,86%"
"04.04.2023","3,22","3,33","3,46","3,21","99,49M","-2,72%"
"03.04.2023","3,31","3,33","3,36","3,19","64,45M","0,00%"
"31.03.2023","3,31","3,44","3,47","3,23","83,12M","-3,78%"
"30.03.2023","3,44","3,43","3,58","3,42","99,28M","2,69%"
"29.03.2023","3,35","3,42","3,46","3,21","102,22M","-0,89%"
"28.03.2023","3,38","3,33","3,42","3,24","80,77M","1,20%"
"27.03.2023","3,34","3,29","3,40","3,26","75,13M","3,41%"
"24.03.2023","3,23","3,22","3,30","3,10","117,39M","3,86%"
"23.03.2023","3,11","3,56","3,56","3,05","248,53M","-13,37%"
"22.03.2023","3,59","3,69","3,75","3,56","118,66M","-2,97%"
"21.03.2023","3,70","3,73","3,78","3,67","60,86M","-0,27%"
"20.03.2023","3,71","3,85","3,88","3,64","83,54M","-1,85%"
"17.03.2023","3,78","3,88","3,92","3,76","79,43M","-2,83%"
"16.03.2023","3,89","3,85","3,99","3,84","98,89M","2,10%"
"15.03.2023","3,81","3,65","3,88","3,58","133,84M","2,14%"
"14.03.2023","3,73","3,72","3,88","3,67","128,38M","0,27%"
"13.03.2023","3,72","3,35","3,84","3,33","188,58M","9,41%"
